Disease,Section,Content,URL
Abortion,Consequences of inaccessible quality abortion care,"Estimates from 2006 show that complications of unsafe abortions cost health systems in developing countries US$ 553 million per year for post-abortion treatments(8). In addition, households experienced US$ 922 million in loss of income due to long-term disability related to unsafe abortion(8). Countries and health systems could make substantial monetary savings by providing greater access to modern contraception and quality induced abortion(7,9).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Consequences of inaccessible quality abortion care,"A scoping review from 2021 also indicates that legalization of abortion affects women’s education, participation in the labour market and positively contributes to GDP growth(9). The legal status of abortion can further affect children’s educational outcomes, and their earnings in the labour market later in life. By reducing the number of unwanted pregnancies and thus increasing the likelihood that children are born wanted, legalization of abortion can be linked to greater parental investments in children, including in girls’ schooling(9).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"Evidence shows that restricting access to abortions does not reduce the number of abortions(1); however, it does affect whether the abortions that women and girls attain are safe and dignified. The proportion of unsafe abortions are significantly higher in countries with highly restrictive abortion laws than in countries with less restrictive laws(3).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"Barriers to accessing safe and respectful abortion include high costs, stigma for those seeking abortions and health care workers, and the refusal of health workers to provide an abortion based on personal conscience or religious belief. Access is further impeded by restrictive laws and requirements that are not medically justified, including criminalization of abortion, mandatory waiting periods, provision of biased information or counselling, third-party authorization and restrictions regarding the type of health care providers or facilities that can provide abortion services.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"Multiple actions are needed at the legal, health system and community levels so that everyone who needs abortion care has access to it. The three cornerstones of an enabling environment for quality comprehensive abortion care are:",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"respect for human rights, including a supportive framework of law and policy;",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,the availability and accessibility of information; and,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"a supportive, universally accessible, affordable and well functioning health system.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"A well-functioning health system implies many factors, including:",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"the reliable supply of quality, affordable medical products and equipment;",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"that an adequate number of health workers, of different types, provide abortion care at a reachable distance to patients;",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"the delivery of abortion care through a variety of approaches, e.g. care in health facilities, digital interventions and self-care approaches, allowing for choices depending on the values and preferences of the pregnant person, available resources, and the national and local context;",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"that health workers are trained to provide safe and respectful abortion care, to support informed decision-making and to interpret laws and policies regulating abortion;",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,that health workers are supported and protected from stigma; and,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,provision of contraception to prevent unintended pregnancies.,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,Availability and accessibility of information implies:,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,provision of evidence-based comprehensive sexuality education; and,https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,Expanding quality abortion care,"accurate, non-biased and evidence-based information on abortion and contraceptive methods.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,WHO response,"WHO provides global technical and policy guidance on the use of contraception to prevent unintended pregnancy, provision of information on abortion care, abortion management (including miscarriage, induced abortion, incomplete abortion and fetal death) and post-abortion care. In 2022, WHO published an updated, consolidated guideline on abortion care, including all WHO recommendations and best practice statements across three domains essential to the provision of abortion care: law and policy, clinical services and service delivery. Asecond editionwas released in 2025.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,WHO response,"WHO also maintains theGlobal Abortion Policies Database. This interactive online database contains comprehensive information on the abortion laws, policies, health standards and guidelines for all countries.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,WHO response,"Upon request, WHO provides technical support to countries to adapt sexual and reproductive health guidelines to specific contexts and strengthen national policies and programmes related to contraception and safe abortion care. A quality abortion care monitoring and evaluation framework is also in development.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,WHO response,"WHO is a cosponsor of theHRP (UNDP/UNFPA/UNICEF/WHO/World Bank Special Programme of Research, Development and Research Training in Human Reproduction), which carries
    out research on clinical care, abortion regulation, abortion stigma, as well as implementation research on community and health systems approaches to quality abortion care. It also monitors the global burden of unsafe abortion and its consequences.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,WHO response,"1An “unsafe abortion” is defined as a procedure for terminating a pregnancy performed by persons lacking the necessary information or skills or in an environment not in conformity with minimal medical standards, or both. The persons, skills and medical standards considered safe in the provision of abortion are different for medical and surgical abortion and by pregnancy duration. In using this definition, what is considered ‘safe’ or unsafe needs to be interpreted in line with the most current WHO technical and policy guidance(2).",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,WHO response,"(2) Ganatra B, Tunçalp Ö, Johnston H, Johnson BR, Gülmezoglu A, Temmerman M. From concept to measurement: Operationalizing WHO's definition of unsafe abortion. Bull World Health Organ 2014;92:155; 10.2471/BLT.14.136333.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abortion,WHO response,"(5) Singh S, Maddow-Zimet I. Facility-based treatment for medical complications resulting from unsafe pregnancy termination in the developing world, 2012: a review of evidence from 26 countries. BJOG 2015; published online Aug 19. DOI:10.1111/1471-0528.13552.",https://www.who.int/news-room/fact-sheets/detail/abortion
Abuse of older people,Scope of the problem,"Abuse of older people is an important public health problem. A 2017 review of 52 studies in 28 countries from diverse regions estimated that over the past year 1 in 6 people (15.7%) aged 60 years and older were subjected to some form of abuse(1). Although
    rigorous data are limited, the review provides prevalence estimates of the proportion of older people affected by different types of abuse (see Table 1).Data on the extent of the problem in institutions such as hospitals, nursing homes
    and other long-term care facilities are scarce. However, a review of recent studies on abuse of older people in institutional settings(2)indicates that 64.2% of staff reported perpetrating some form of abuse in the past year.",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,Table 1: Systematic reviews and meta-analyses,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,Abuse of older people in community settings (1),https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,Abuse of older people in institutional settings (2),https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,Reported by older adults and their proxies,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,"Emerging evidence indicates that the prevalence of abuse of older people in both the community and in institutions have increased during the COVID-19 pandemic. A US study, for instance, suggests that rates in the community may have increased by as much as 84%(3).",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,Abuse of older people in community settings,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,Abuse of older people in institutional settings,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Scope of the problem,"Globally, the number of cases of elder abuse is projected to increase as many countries have rapidly ageing populations. Even if the proportion of victims of abuse of older people remains constant, the global number of victims will increase rapidly due to population
    ageing, growing to some 320 million victims by 2050, as the global population of people aged 60 years and more increases to 2 billion by 2050.",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Consequences,"Abuse of older people can have serious physical and mental health, financial, and social consequences, including, for instance, physical injuries, premature mortality, depression, cognitive decline, financial devastation and placement in nursing homes. For older
    people, the consequences of abuse can be especially serious and recovery may take longer(4).",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Risk factors,"Individual level characteristics which increase the risk of becoming a victim of abuse include functional dependence/disability, poor physical health, cognitive impairment, poor mental health and low income. Individual level characteristics which increase
    the risk of becoming a perpetrator of abuse include mental illness, substance abuse and dependency – often financial – of the abuser on the victim. At the relationship level, the type of relationship (e.g., spouse/partner or child/parent)
    and marital status may be associated with an elevated risk of abuse, but these factors vary by country and region. Community- and societal-level factors linked to elder abuse may include ageism against older people and certain cultural norms (e.g.,
    normalization of violence). Social support and living alone reduce the likelihood of elder abuse(5).",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Prevention,"Many strategies have been tried to prevent and respond to abuse of older people, but evidence for the effectiveness of most of these interventions is limited at present. Strategies considered most promising include caregiver interventions, which provide services
    to relieve the burden of caregiving; money management programmes for older adults vulnerable to financial exploitation; helplines and emergency shelters; and multi-disciplinary teams, as the responses required often cut across many systems, including
    criminal justice, health care, mental health care, adults protective services and long-term care (5).",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,Prevention,"In some countries, the health sector has taken a leading role in raising public concern about abuse of older people, while in others the social welfare sector has taken the lead. Globally, too little is known about elder abuse and how to prevent it, particularly
    in developing countries.",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,"On 15 June 2022, World Elder Abuse Awareness Day, WHO and partners published “Tackling abuse of older people: five priorities for the UN Decade of Healthy Ageing (2021–2030)”. These five priorities, arrived at through wide consultation, are:",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,Combat ageism as it is a major reason why the abuse of older      people receives so little attention.,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,Generate more and better data to raise awareness of the      problem.,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,Develop and scale up cost–effective solutions to stop abuse of      older people.,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,Make an investment case focusing on how addressing the problem      is money well spent.,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,Raise funds as more resources are needed to tackle the problem.,https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,"(2)The prevalence of elder abuse in institutional settings: a systematic review and meta-analysis. Yon Y, Ramiro-Gonzalez M, Mikton C, Huber M, Sethi D. European Journal of Public Health 2018.https://www.ncbi.nlm.nih.gov/pubmed/29878101",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,"(3)High prevalence of elder abuse during the COVID-19 pandemic: risk and resilience factors. Chang ES, Levy BR. The American Journal of Geriatric Psychiatry. 2021.https://pubmed.ncbi.nlm.nih.gov/33518464/",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,"(4)The mortality of elder mistreatment.Lachs MS, Williams CS, O'Brien S, Pillemer KA, Charlson ME. JAMA. 1998 Aug 5;280(5):428-32.https://www.ncbi.nlm.nih.gov/pubmed/9701077",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Abuse of older people,WHO response,"(5)Elder Abuse: Global Situation, Risk Factors, and Prevention Strategies. Pillmer K, Burnes D, Riffin C, Lachs M. The Gerontologist. 2016; 56(2); 194-205.https://pubmed.ncbi.nlm.nih.gov/26994260/",https://www.who.int/news-room/fact-sheets/detail/abuse-of-older-people
Adolescent and young adult health,Key facts,"Over 1.5 million adolescents and young adults aged 10–24 years died in 2021, about 4500 every day.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Key facts,Young adolescents aged 10–14 years have the lowest risk of death among all age groups.,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Key facts,"Injuries (including road traffic injuries and drowning), interpersonal violence, self-harm and maternal conditions are the leading causes of death among adolescents and young adults.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Key facts,"Half of all mental health disorders in adulthood start by age 18, but most cases are undetected and untreated.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Key facts,"Early onset of substance use is associated with higher risks of developing dependence and other problems during adult life, and younger people are disproportionately affected by substance use compared with older people.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Key facts,"Globally, there were 42 births per 1000 to girls aged 15–19 years in 2021.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Overview,"Survival chances for adolescents and young adults vary greatly across the world. In 2021, the average probability of a 10-year-old dying before age 24 was about 6 times higher in sub-Saharan Africa than in North America and Europe.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Overview,"Within the age group 10–24 years, mortality rates are lowest among adolescents aged 10–14, and highest among young adults aged 20–24 years. Females generally have lower mortality rates for these ages than males.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Overview,"The patterns of death of 10–14-year-olds are dominated by infectious diseases. Among older adolescents and young adults, a shift away from infectious diseases of childhood is seen, towards accidents and injuries, self-harm and interpersonal violence. Sex differences in mortality rates also become apparent in adolescence.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,Many unintentional injuries such as road traffic and drowning are the leading cause of death and disability among adolescents.,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Road traffic accidentsIn 2021, over100 000 adolescents(10–19 years) died from road traffic accidents.Many of those who died were vulnerable road users, including pedestrians, cyclists or users of motorized two-wheelers.Injuries and violence fact sheet",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"In 2021, over100 000 adolescents(10–19 years) died from road traffic accidents.Many of those who died were vulnerable road users, including pedestrians, cyclists or users of motorized two-wheelers.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"DrowningDrowning is also among the top causes of death among adolescents; more than 40 000 adolescents, over three quarters of them boys, are estimated to have drowned in 2021.Drowning fact sheet",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Drowning is also among the top causes of death among adolescents; more than 40 000 adolescents, over three quarters of them boys, are estimated to have drowned in 2021.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"ViolenceInterpersonal violence is among the leading causes of death in adolescents and young people globally. Its prominence varies substantially by world region. It causes nearly a third of all adolescent male deaths in the WHO Region of the Americas.Violence during adolescence also increases the risks of injury, HIV and other sexually transmitted infections, mental health problems, poor school performance and dropout, early pregnancy, reproductive health problems, and communicable and noncommunicable diseases.Youth violence fact sheet",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,Interpersonal violence is among the leading causes of death in adolescents and young people globally. Its prominence varies substantially by world region. It causes nearly a third of all adolescent male deaths in the WHO Region of the Americas.,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Violence during adolescence also increases the risks of injury, HIV and other sexually transmitted infections, mental health problems, poor school performance and dropout, early pregnancy, reproductive health problems, and communicable and noncommunicable diseases.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Alcohol and drug useDrinking alcohol among adolescents is a major concern in many countries. Worldwide, more than a quarter of all people aged 15–19 years are current drinkers, amounting to 155 million adolescents.Prevalenceof heavy episodic drinking among adolescents aged 15­–19 years was 13.6% in 2016, with males most at risk.Cannabisis the most widely used psychoactive drug among young people with about 4.7% of people aged 15–16 years using it at least once in 2018. Alcohol and drug use in children and adolescents is associated with neurocognitive alterations which can lead to behavioural, emotional, social and academic problems in later life.Alcohol fact sheet",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Drinking alcohol among adolescents is a major concern in many countries. Worldwide, more than a quarter of all people aged 15–19 years are current drinkers, amounting to 155 million adolescents.Prevalenceof heavy episodic drinking among adolescents aged 15­–19 years was 13.6% in 2016, with males most at risk.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Cannabisis the most widely used psychoactive drug among young people with about 4.7% of people aged 15–16 years using it at least once in 2018. Alcohol and drug use in children and adolescents is associated with neurocognitive alterations which can lead to behavioural, emotional, social and academic problems in later life.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Depression and anxiety are among theleading causes of illness and disabilityamong adolescents, and suicide is among the leading causes of death in people aged 15–19 years. Half of all mental health disorders in adulthood start by age 18, but most cases are undetected and untreated.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Many factors have an impact on the well-being and mental health of adolescents. Violence, poverty, stigma, exclusion, and living in humanitarian and fragile settings can increase the risk of developing mental health problems.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"An estimated1.7 million adolescents(age 10–19 years) were living with HIV in 2021 with around 90% in the WHO African Region. While there have been substantial declines in new infections amongst adolescents from a peak in 1994,adolescentsstill account for about 10% of new HIV infections, with three-quarters amongst adolescent girls. Additionally, while new infections may have fallen in many of the most severely affected countries, recent testing coverageremains lowsuggesting that many adolescents and young people living with HIV may not know their status.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Tuberculosis (TB) is a preventable and curable disease, but it continues to impact the lives and development of millions of children and adolescents. Children and young adolescents aged under 15 years represent about 11% of all people with TB globally. This means 1.1 million children and young adolescents aged under 15 years fall ill with TB every year, and more than 225 000 of them lose their lives.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,Adolescents and young adults usually present with bacteriologically infectious TB characterized by cavities seen on chest x-rays. TheGlobal Tuberculosis Reportshows that notification rates in adolescents aged 15–19 years are relatively high compared with younger adolescents.,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Diarrhoea and lower respiratory tract infections (pneumonia) are estimated to be among the top five causes of death for adolescents 10–14 years, with mortality rates being particularly high in African low- and middle-income countries. Thanks to improved childhood vaccination, adolescent deaths and disability from measles have fallen markedly.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Early adolescence (9–14 years) is the optimal time for vaccination against HPV infection and it is estimated that if90% of girls globallyget the HPV vaccine more than 40 million lives could be saved over the next century. However, it is estimated that in 2021 only 12% of girls globally received the vaccine.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,Human papillomavirus (HPV) and cervical cancer fact sheet,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Overall there are proportionally fewer cases of and deaths fromCOVID-19 diseasefor adolescents and young adults than for older adults. However, the pandemic has severe indirectnegative effectson young people’s well-being, including on their mental health, loss of education time through school closures, social isolation, physical inactivity, malnutrition and domestic violence.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,Approximately 12 million girls aged 15–19 years and at least 777 000 girls under 15 years givebirtheach year in developing regions. Complications from pregnancy and childbirth are among the leading causes of death for girls aged 15–19 years globally.,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"The global adolescent birth rate in 2021 was 42 births per 1000 girls this age, and country rates range from 1 to over 200 births per 1000 girls annually. This indicates a marked decrease since 1990. This decrease is reflected in a similar decline in maternal mortality rates among girls aged 15–19 years.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"One of the specific targets of the health Sustainable Development Goal (SDG 3) is that by 2030, the world should ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Many of the main causes of mortality in adolescents and young adults have strong links to the environment, including unintentional injuries and infectious diseases. Young people are at increased risk of environmental hazards and pollution due to their developmental physiology and immature systems. Primary environmental hazards and pollution affecting the health of adolescents and young adults include air pollution, chemicals and heavy metals, climate change, UV radiation, urban health and WASH.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,WHO's work on children's environmental health,https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Globally, in 2016, over1 in 6 adolescentsaged 10–19 years was overweight. Prevalence varied across WHO regions, from lower than 10% in the WHO South-East Asia Region to over 30% in the WHO Region of the Americas.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Many boys and girls in developing countries enter adolescence undernourished, making them more vulnerable to disease and early death.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Iron deficiency anaemia was among the leading causes of
        healthy years of life lost due to disability by adolescents aged 10–19 in 2021.
        Iron and folic acid supplements are a solution that also helps to promote
        health of adolescents. Regular deworming in areas where intestinal helminths
        such as hookworm are common is recommended to prevent micronutrient (including
        iron) deficiencies.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Main health issues,"Globally, in 2016, only 1 in 5 adolescents are estimated to
    meet WHO guidelines on physical activity. Prevalence of inactivity is
    high across all WHO regions, and higher in female as compared to male
    adolescents(8).",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Rights of adolescents,"The rights of children under 18 years to survive, grow and
    develop are enshrined in international legal documents. In 2013, the Committee
    on the Rights of the Child (CRC) published guidelines on the right of children to
    the enjoyment of the highest attainable standard of health, and a General
    Comment on realizing the rights of children during adolescence was published in
    2016. It highlights states’ obligations to recognize the special health and
    development needs and rights of young people.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,Rights of adolescents,"The Convention on the Elimination of Discrimination Against
    Women (CEDAW) also sets out the rights of women and girls to health and
    adequate health care.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
Adolescent and young adult health,WHO response,"WHO works with Member States and partners to improve the
    health of young people by producing evidence-based guidelines, advocating and
    providing recommendations for adolescent-responsive health systems, and
    documenting progress in adolescent health and development.",https://www.who.int/news-room/fact-sheets/detail/adolescents-health-risks-and-solutions
